id,Country,Continent,fhs,gov,Capital,pnr,Topography,Climate,le,imr,pcod,GDPPC,cer,bmi,gdpg,ii,cpi,hioef,lr,Religions,Languages,Population
Ghana,Ghana,Africa,83/100 (2018),presidential republic,Accra,"gold, timber, industrial diamonds, bauxite, manganese, fish, rubber, hydropower, petroleum, silver, salt, limestone",mostly low plains with dissected plateau in south-central area,tropical; warm and comparatively dry along southeast coast; hot and humid in southwest; hot and dry in north,67 years (2017),"35.2 deaths/1,000 live births (2017)","1- Stroke, 2- Influenza and Pneumonia, 3- Coronary Heart Disease, 4- Malaria, 5- HIV/AIDS (2017)","$4,600 2017 EST.",4.42 Cedis to 1 U.S. Dollar (March 2018),No Data,8.9% (2017),42.8% (2006),43 and 70th/176 (2016),56.0 overall (2018),76.6%  (2015),"Christian 71.2% (Pentecostal/Charismatic 28.3%, Protestant 18.4%, Catholic 13.1%, other 11.4%), Muslim 17.6%, traditional 5.2%, other 0.8%, none 5.2% (2010 est.)","Asante 16%, Ewe 14%, Fante 11.6%, Boron (Brong) 4.9%, Dagomba 4.4%, Dangme 4.2%, Dagarte (Dagaba) 3.9%, Kokomba 3.5%, Akyem 3.2%, Ga 3.1%, other 31.2%.note: English is the official language (2010 est.)
    ","27,499,924 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
Benin,Benin,Africa,81/100 (2018),presidential republic,Porto-Novo (constitutional capital); Cotonou (seat of government),"small offshore oil deposits, limestone, marble, timber",mostly flat to undulating plain; some hills and low mountains,"tropical; hot, humid in south; semiarid in north",62.3 years (2017),"52.8 deaths/1,000 live births (2017)","1- Influenza and Pneumonia, 2- Stroke, 3- Coronary Heart Disease, 4- Malaria, 5- Diarrhoeal diseases (2017)","$2,200 2017 EST.",529.00 Communaute Financiere Africaine Francs to 1 U.S. Dollar (March 2018),No Data,6% (2017),47.8% (2015),36 and 95th/176 (2016),56.7 overall (2018),38.4% (2015),"Muslim 27.7%, Roman Catholic 25.5%, Protestant 13.5% (Celestial 6.7%, Methodist 3.4%, other Protestant 3.4%), Vodoun 11.6%, other Christian 9.5%, other traditional religions 2.6%, other 2.6%, none 5.8% (2013 est.)","French (official), Fon and Yoruba (most common vernaculars in south), tribal languages (at least six major ones in north)","11,038,805 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
Togo,Togo,Africa,47/100 (2018),presidential republic,Lome,"phosphates, limestone, marble, arable land",gently rolling savanna in north; central hills; southern plateau; low coastal plain with extensive lagoons and marshes,"tropical; hot, humid in south; semiarid in north",65.4 years (2017),"42.2 deaths/1,000 live births (2017)","1- Influenza and Pneumonia, 2- HIV/AIDS, 3- Stroke, 4- Coronary Heart Disease, 5- Malaria (2017)","$1,600 2017 EST.",529.00 Communaute Financiere Africaine Francs to 1 U.S. Dollar (March 2018),No Data,5.3% (2017),43% (2015),32 and 116th/176 (2016),47.8 overall (2018),63.7% (2015),"Christian 29%, Muslim 20%, indigenous beliefs 51%","French (official, the language of commerce), Ewe and Mina (the two major African languages in the south), Kabye (sometimes spelled Kabiye) and Dagomba (the two major African languages in the north)","7,965,055 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
Cote_Divoire,Cote_Divoire,Africa,51/100 (2018),presidential republic,"Yamoussoukro (legislative capital), Abidjan (administrative capital); note - although Yamoussoukro has been the official capital since 1983, Abidjan remains the administrative capital as well as the officially designated commercial capital; the US, like other countries, maintains its Embassy in Abidjan","petroleum, natural gas, diamonds, manganese, iron ore, cobalt, bauxite, copper, gold, nickel, tantalum, silica sand, clay, cocoa beans, coffee, palm oil, hydropower",mostly flat to undulating plains; mountains in northwest,"tropical along coast, semiarid in far north; three seasons - warm and dry (November to March), hot and dry (March to May), hot and wet (June to October)",59 years (2017),"55.8 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Influenza and Pneumonia, 3- Stroke, Coronary Heart Disease, Diarrhoeal diseases (2017)","$3,900 2017 EST.",531.07 Cooperation Financiere en Afrique Centrale francs to 1 U.S. Dollar (March 2018),No Data,7.3% (2017),41.7% (2015),34 and 108th/176 (2016),62.0 overall (2018),43.1%  (2015),"Muslim 42.9%, Catholic 17.2%, Evangelical 11.8%, Methodist 1.7%, other Christian 3.2%, animist 3.6%, other religion 0.5%, none 19.1%. note: the majority of foreign migrant workers are Muslim (72.7%) and Christian (17.7%) (2014 est.)","French (official), 60 native dialects of which Dioula is the most widely spoken","24,184,810 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
Liberia,Liberia,Africa,62/100 (2018),presidential republic,Monrovia,"iron ore, timber, diamonds, gold, hydropower",mostly flat to rolling coastal plains rising to rolling plateau and low mountains in northeast,"tropical; hot, humid; dry winters with hot days and cool to cold nights; wet, cloudy summers with frequent heavy showers",63.3 years (2017),"52.2 deaths/1,000 live births (2017)","1- Influenza and Pneumonia, 2- Stroke, 3- Tuberculosis, 4- Coronary Heart Disease, 5- HIV/AIDS (2017)",$900 2017 EST.,131.20 Liberian Dollars to 1 U.S. Dollar (March 2018),No Data,4% (2017),33.2% (2014),37 and 90th/176 (2016),50.9 overall (2018),47.6% (2015),"Christian 85.6%, Muslim 12.2%, Traditional 0.6%, other 0.2%, none 1.4% (2008 Census)","English 20% (official), some 20 ethnic group languages few of which can be written or used in correspondence","4,689,021 (July 2017)"
Guinea,Guinea,Africa,41/100 (2018),presidential republic,Conakry,"bauxite, iron ore, diamonds, gold, uranium, hydropower, fish, salt","generally flat coastal plain, hilly to mountainous interior",generally hot and humid; monsoonal-type rainy season (June to November) with southwesterly winds; dry season (December to May) with northeasterly harmattan winds,61 years (2017),"50 deaths/1,000 live births (2017)","1- Influenza and Pneumonia, 2- Stroke, 3- Coronary Heart Disease, 4- Diarrhoeal diseases, 5- Malaria (2017)",no data,"9,000.00 Guinean Francs to 1 U.S. Dollar (March 2018)",No Data,5.8% (2017),33.7% (2012),27 and 142nd/176 (2016,52.2 overall (2018),30.4% (2015),"Muslim 86.2%, Christian 9.7%, animist/other/none 4.1% (2012 est.)",French (official). note: each ethnic group has its own language.,"12,413,867 (July 2017)"
Sierra_Leone,Sierra_Leone,Africa,66/100 (2018),presidential republic,Freetown,"diamonds, titanium ore, bauxite, iron ore, gold, chromite","coastal belt of mangrove swamps, wooded hill country, upland plateau, mountains in east","tropical; hot, humid; summer rainy season (May to December); winter dry season (December to April)",58.6 years (2017),"68.4 deaths/1,000 live births (2017)","1- Influenza and Pneumonia, 2- Tuberculosis, 3- Stroke, 4- Diarrhoeal diseases, 5- Coronary Heart Disease (2017)","$1,800 2017 EST.","7,702.00 Leones to 1 U.S. Dollar (March 2018)",No Data,6.1% (2017),34% (2011),30 and 123rd/176 (2016),51.8 overall (2018),48.1% (2015),"Muslim 78.6%, Christian 20.8%, other 0.3%, unspecified 0.2% (2013 est.)","English (official, regular use limited to literate minority), Mende (principal vernacular in the south), Temne (principal vernacular in the north), Krio (English-based Creole, spoken by the descendants of freed Jamaican slaves who were settled in the Freetown area, a lingua franca and a first language for 10% of the population but understood by 95%)","6,163,195 (July 2017)"
Guinea_-_Bissau,Guinea_-_Bissau,Africa,41/100 (2018),semi-presidential republic,Bissau,"fish, timber, phosphates, bauxite, clay, granite, limestone, unexploited deposits of petroleum",mostly low-lying coastal plain with a deeply indented estuarine coastline rising to savanna in east; numerous off-shore islands including the Arquipelago Dos Bijagos consisting of 18 main islands and many small islets,tropical; generally hot and humid; monsoonal-type rainy season (June to November) with southwesterly winds; dry season (December to May) with northeasterly harmattan winds,51 years (2017),"85.7 deaths/1,000 live births (2017)","1- Influenza and Pneumonia, 2- HIV/AIDS, 3- Stroke, 4- Coronary Heart Disease, 5- Diarrhoeal diseases (2017)","$1,800 2017 EST.",529.00 Communaute Financiere Africaine Francs to 1 U.S. Dollar (March 2018),No Data,5% (2017),50.7% (2010),16 and 168th/176 (2016),56.9 overall (2018),59.9% (2015),"Muslim 45.1%, Christian 22.1%, animist 14.9%, none 2%, unspecified 15.9% (2008 est.)","Crioulo (lingua franca), Portuguese (official; largely used as a second or third language), Pular (a Fula language), Mandingo","1,792,338 (July 2017)"
The_Gambia,The_Gambia,Africa,41/100 (2018),presidential republic,Banjul,"fish, clay, silica sand, titanium (rutile and ilmenite), tin, zircon",flood plain of the Gambia River flanked by some low hills,"tropical; hot, rainy season (June to November); cooler, dry season (November to May)",65.1 years (2017),"60.2 deaths/1,000 live births (2017)","1- Influenza and Pneumonia, 2- Stroke, 3- Coronary Heart Disease, 4- Tuberculosis, 5- Malaria (2017)","$1,700 2017 EST.",47.20 Dalasis to 1 U.S. Dollar (March 2018),No Data,3.5% (2017),47.3% (2003),26 and 145th/176 (2016),52.3 overall (2018),55.5% (2015),"Muslim 95.7%, Christian 4.2%, none 0.1%, no response 0.1% (2013 est.)","English (official), Mandinka, Wolof, Fula, other indigenous vernaculars","2,051,363 (July 2017)"
Senegal,Senegal,Africa,75/100 (2018),presidential republic,Dakar,"fish, phosphates, iron ore","generally low, rolling, plains rising to foothills in southeast","tropical; hot, humid; rainy season (May to November) has strong southeast winds; dry season (December to April) dominated by hot, dry, harmattan wind",62.1 years (2017),"49.1 deaths/1,000 live births (2017)","1- Influenza and Pneumonia, 2- Stroke, 3- Diarrhoeal diseases, 4- Coronary Heart Disease, 5- Malaria (2017)","$2,700 2017 EST.",529.00 Communaute Financiere Africaine Francs to 1 U.S. Dollar (March 2018),No Data,7% (2017),40.3% (2011),45 and 64th/176 (2016),55.7 overall (2018),57.7% (2015),"Muslim 96.1% (most adhere to one of the four main Sufi brotherhoods), Christian 3.6% (mostly Roman Catholic), animist 0.3% (2016 est.)","French (official), Wolof, Pular, Jola, Mandinka, Serer, Soninke","14,668,522 (July 2017)"
Cape_Verde,Cape_Verde,Africa,90/100 (2018),parliamentary republic,Praia,"salt, basalt rock, limestone, kaolin, fish, clay, gypsum","steep, rugged, rocky, volcanic","temperate; warm, dry summer; precipitation meager and erratic",72.4 years (2017),"21.9 deaths/1,000 live births (2017)","1- Stroke, 2- Coronary Heart Disease, 3- Influenza and Pneumonia, 4- Lung Disease, 5- Tuberculosis (2017) ","$6,900 2017 EST.",89.65 Cabo Verdean Escudos to 1 U.S. Dollar (March 2018),No Data,4.1% (2017),47.2% (2007),59 and 38th/176 (2016),60.0 overall (2018),86.8% (2015),"Roman Catholic 77.3%, Protestant 4.6% (includes Church of the Nazarene 1.7%, Adventist 1.5%, Assembly of God 0.9%, Universal Kingdom of God 0.4%, and God and Love 0.1%), other Christian 3.4% (includes Christian Rationalism 1.9%, Jehovah's Witness 1%, and New Apostolic 0.5%), Muslim 1.8%, other 1.3%, none 10.8%, unspecified 0.7% (2010 est.)","Portuguese (official), Crioulo (a blend of Portuguese and West African words)","560,899 (July 2017)"
Djibouti,Djibouti,Africa,26/100 (2018),semi-presidential republic,Djibouti,"potential geothermal power, gold, clay, granite, limestone, marble, salt, diatomite, gypsum, pumice, petroleum",coastal plain and plateau separated by central mountains,"desert; torrid, dry",63.6 years (2017),"45.8 deaths/1,000 live births (2017)","1- Tuberculosis, 2- Stroke, 3- Influenza and Pneumonia, 4- HIV/AIDS, 5- Coronary Heart Disease (2017)","$3,600 2017 EST.",177.72 Djiboutian Francs to 1 U.S. Dollar (March 2018),No Data,7% (2017),44.1% (2013),30 and 123rd/176 (2016),45.1 overall (2018),No Data,"Muslim 94%, Christian 6%","French (official), Arabic (official), Somali, Afar","865,267 (July 2017)"
Eritrea,Eritrea,Africa,3/100 (2018),presidential republic,Asmara (Asmera),"gold, potash, zinc, copper, salt, possibly oil and natural gas, fish","dominated by extension of Ethiopian north-south trending highlands, descending on the east to a coastal desert plain, on the northwest to hilly terrain and on the southwest to flat-to-rolling plains","hot, dry desert strip along Red Sea coast; cooler and wetter in the central highlands (up to 61 cm of rainfall annually, heaviest June to September); semiarid in western hills and lowlands",65.2 years (2017),"45 deaths/1,000 live births (2017)","1- Stroke, 2- Influenza and Pneumonia, 3- Coronary Heart Disease, 4- Diarrhoeal diseases, 5- Malnutrition (2017)","$1,400 2017 EST.",15 Nakfa to 1 U.S. Dollar (March 2018),No Data,3.6%  (2017),no data,18 and 164th/176 (2016),41.7 overall (2018),73.8% (2015),"Muslim, Coptic Christian, Roman Catholic, Protestant","Tigrinya (official), Arabic (official), English (official), Tigre, Kunama, Afar, other Cushitic languages","5,918,919 (July 2017)"
Uganda,Uganda,Africa,37/100 (2018),presidential republic,Kampala,"copper, cobalt, hydropower, limestone, salt, arable land, gold",mostly plateau with rim of mountains,"tropical; generally rainy with two dry seasons (December to February, June to August); semiarid in northeast",55.9 years (2017),"56.1 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Influenza and Pneumonia, 3- Stroke, Coronary Heart Disease, Diarrhoeal diseases (2017)","$2,400 2017 EST.","3,657.65 Ugandan Shillings to 1 U.S. Dollar (March 2018)",No Data,5.2% (2017),42.4% (2012),25 and 151st/176 (2016,62.0 overall (2018),78.4%  (2015),"Protestant 45.1% (Anglican 32.0%, Pentecostal/Born Again/Evangelical 11.1%, Seventh Day Adventist 1.7%, Baptist .3%), Roman Catholic 39.3%, Muslim 13.7%, other 1.6%, none 0.2% (2014 est.)","English (official national language, taught in grade schools, used in courts of law and by most newspapers and some radio broadcasts), Ganda or Luganda (most widely used of the Niger-Congo languages, preferred for native language publications in the capital and may be taught in school), other Niger-Congo languages, Nilo-Saharan languages, Swahili, Arabic","39,570,125 (2014) note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
Sudan,Sudan,Africa,8/100 (2018),presidential republic,Khartoum,"petroleum; small reserves of iron ore, copper, chromium ore, zinc, tungsten, mica, silver, gold; hydropower","generally flat, featureless plain; desert dominates the north",hot and dry; arid desert; rainy season varies by region (April to November),64.4 years (2017),"48.8 deaths/1,000 live births (2017)","1- Influenza and Pneumonia, 2- Stroke, 3- Diarrhoeal diseases, 4- Coronary Heart Disease, 5- Malnutrition (2017)","$4,600 2017 EST.",18.16 Sudanese Pounds to 1 U.S. Dollar (March 2018),No Data,3.6% (2017),35.4% (2009),14 and 170th/176 (2016),49.4 overall (2018),75.9% (2015),"Sunni Muslim, small Christian minority","Arabic (official), English (official), Nubian, Ta Bedawie, Fur","37,345,935 (July 2017)"
Chad,Chad,Africa,18/100 (2018),presidential republic,N'Djamena,"petroleum, uranium, natron, kaolin, fish (Lake Chad), gold, limestone, sand and gravel, salt","broad, arid plains in center, desert in north, mountains in northwest, lowlands in south","tropical in south, desert in north",50.6 years(2017),"85.4 deaths/1,000 live births(2017)","1- Influenza and Pneumonia, 2- HIV/AIDS, 3- Diarrhoeal diseases, 4- Stroke, 5- Coronary Heart Disease (2017)","$2,400 2017 EST.",531.07 Cooperation Financiere en Afrique Centrale francs to 1 U.S. Dollar (March 2018),No Data,2.4% (2017),43.3% (2011),20 and 159th/176 (2016),49.3 overall (2018),22.3% (2016),"Muslim 52.1%, Protestant 23.9%, Roman Catholic 20%, animist 0.3%, other Christian 0.2%, none 2.8%, unspecified 0.7% (2014-15 est.)","French (official), Arabic (official), Sara (in south), more than 120 different languages and dialects","12,075,985 (July 2017)"
Niger,Niger,Africa,50/100 (2018),semi-presidential republic,Niamey,"uranium, coal, iron ore, tin, phosphates, gold, molybdenum, gypsum, salt, petroleum",predominately desert plains and sand dunes; flat to rolling plains in south; hills in north,"desert; mostly hot, dry, dusty; tropical in extreme south",55.9 years(2017),"81.1 deaths/1,000 live births","1- Influenza and Pneumonia, 2- Stroke, 3- Diarrhoeal diseases, 4- Coronary Heart Disease, 5- Malaria (2017)","$1,200 2017 EST.",529.00 Communaute Financiere Africaine Francs to 1 U.S. Dollar (March 2018),No Data,4.7% (2017),34% (2014),35 and 101st/176 (2016),49.5 overall (2018),19.1% (2015),"Muslim 80%, other (includes indigenous beliefs and Christian) 20%","French (official), Hausa, Djerma","19,245,344 (July 2017)"
Central_African_Republic,Central_African_Republic,Africa,9/100 (2018),presidential republic,Bangui,"diamonds, uranium, timber, gold, oil, hydropower","vast, flat to rolling plateau; scattered hills in northeast and southwest","tropical; hot, dry winters; mild to hot, wet summers",52.8 years(2017),"86.3 deaths/1,000 live births(2017)","1- HIV/AIDS, 2- Diarrhoeal diseases, 3- Influenza and Pneumonia, 4- Malnutrition, 5- Stroke (2017)",$700 2017 EST.,531.07 Cooperation Financiere en Afrique Centrale francs to 1 U.S. Dollar (March 2018),No Data,5% (2017),56.2% (2008),20 and 159th/176 (2016),49.2 overall (2018),36.8%.  (2015),"indigenous beliefs 35%, Protestant 25%, Roman Catholic 25%, Muslim 15%. note: animistic beliefs and practices strongly influence the Christian majority.","French (official), Sangho (lingua franca and national language), tribal languages","5,625,118 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
Cameroon,Cameroon,Africa,22/100 (2018),presidential republic,Yaounde,"petroleum, bauxite, iron ore, timber, hydropower","diverse, with coastal plain in southwest, dissected plateau in center, mountains in west, plains in north","varies with terrain, from tropical along coast to semiarid and hot in north",59 years(2017),"51 deaths/1,000 live births(2017)","1- HIV/AIDS, 2- Influenza and Pneumonia, 3- Stroke, Coronary Heart Disease, Diarrhoeal diseases (2017)","$3,400 2017 EST.",531.07 Cooperation Financiere en Afrique Centrale francs to 1 U.S. Dollar (March 2018),No Data,4.6% (2017),46.5 (2014),26 and 145th/176 (2016),51.9 overall (2018),75% (2015),"Roman Catholic 38.4%, Protestant 26.3%, other Christian 4.5%, Muslim 20.9%, animist 5.6%, other 1%, non-believer 3.2% (2005 est.)","24 major African language groups, English (official), French (official)","24,994,885 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
Mali,Mali,Africa,44/100 (2018),semi-presidential republic,Bamako,"gold, phosphates, kaolin, salt, limestone, uranium, gypsum, granite, hydropower. note: bauxite, iron ore, manganese, tin, and copper deposits are known but not exploited","mostly flat to rolling northern plains covered by sand; savanna in south, rugged hills in northeast","subtropical to arid; hot and dry (February to June); rainy, humid, and mild (June to November); cool and dry (November to February)",60.3 years(2017),"69.5 deaths/1,000 live births(2017)","1- Stroke, 2- Coronary Heart Disease, 3- Influenza and Pneumonia, 4- Diarrhoeal diseases, 5- Diabetes Mellitus (2017) ","$2,200 2017 EST.",529.00 Communaute Financiere Africaine Francs to 1 U.S. Dollar (March 2018),No Data,5% (2017),33% (2010),32 and 116th/176 (2016),57.6 overall (2018),33.1% (2015),"Muslim 94.8%, Christian 2.4%, Animist 2%, none 0.5%, unspecified 0.3% (2009 est.)","French (official), Bambara 46.3%, Peul/Foulfoulbe 9.4%, Dogon 7.2%, Maraka/Soninke 6.4%, Malinke 5.6%, Sonrhai/Djerma 5.6%, Minianka 4.3%, Tamacheq 3.5%, Senoufo 2.6%, Bobo 2.1%, unspecified 0.7%, other 6.3%. note: Mali has 13 national languages in addition to its official language (2009 est.)","17,885,245 (July 2017)"
Mauritania,Mauritania,Africa,30/100 (2018),presidential republic,Nouakchott,"iron ore, gypsum, copper, phosphate, diamonds, gold, oil, fish","mostly barren, flat plains of the Sahara; some central hills","desert; constantly hot, dry, dusty",63.4 years(2017),"51.9 deaths/1,000 live births(2017)","1- Tuberculosis, 2- Influenza and Pneumonia, 3- Stroke, 4- Coronary Heart Disease, 5- Malaria (2017)","$4,500 2017 EST.",356.00 Ouguiyas to 1 U.S. Dollar (March 2018),No Data,3% (2017),32.4% (2015),27 and 142nd/176 (2016,54.0 overall (2018),52.1%. (2015),Muslim (official) 100%,"Arabic (official and national), Pular, Soninke, Wolof (all national languages), French. note: the spoken Arabic in Mauritania differs considerably from the modern standard Arabic used for official written purposes or in the media; the Mauritanian dialect, which incorporates many Berber words, is referred to as Hassaniya","3,758,571 (July 2017)"
Burkina_Faso,Burkina_Faso,Africa,60/100 (2018),presidential republic,Ouagadougou,"manganese, limestone, marble; small deposits of gold, phosphates, pumice, salt","mostly flat to dissected, undulating plains; hills in west and southeast","tropical; warm, dry winters; hot, wet summers",55.9 years(2017),"72.2 deaths/1,000 live births(2017)","1- Influenza and Pneumonia, 2- Stroke, 3- Coronary Heart Disease, 4- Malaria, 5- Diarrhoeal diseases (2017)","$1,900 2017 EST.",529.00 Communaute Financiere Africaine Francs to 1 U.S. Dollar (March 2018),No Data,6.5% 92017),35.3% (2014),42 and 72nd/176 (2016),60.0 overall (2018),36%  (2015),"Muslim 61.5%, Roman Catholic 23.3%, traditional/animist 7.8%, Protestant 6.5%, other/no answer 0.2%, none 0.7% (2010 est.)","French (official), native African languages belonging to Sudanic family spoken by 90% of the population
","20,107,509  (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
Papa_New_Guinea,Papa_New_Guinea,Asia,63/100 (2018),parliamentary democracy (National Parliament) under a constitutional monarchy; a Commonwealth realm,Port Moresby,"gold, copper, silver, natural gas, timber, oil, fisheries",mostly mountains with coastal lowlands and rolling foothills,"tropical; northwest monsoon (December to March), southeast monsoon (May to October); slight seasonal temperature variation",67.3 years(2017),"36.3 deaths/1,000 live births(2017)",no data,"$3,800 2017 EST.",3.22 Kina to 1 U.S. Dollar (March 2018),No Data,2.9% (2017),43.9% (2009),28 and 136th/176 (2016),55.7 overall (2018),64.2%  (2015),"Roman Catholic 27%, Protestant 69.4% (Evangelical Lutheran 19.5%, United Church 11.5%, Seventh-Day Adventist 10%, Pentecostal 8.6%, Evangelical Alliance 5.2%, Anglican 3.2%, Baptist 2.5%, other Protestant 8.9%), Baha'i 0.3%, indigenous beliefs and other 3.3% (2000 census)","Tok Pisin (official), English (official), Hiri Motu (official), some 839 indigenous languages spoken (about 12% of the world's total); many languages have fewer than 1,000 speakers. note: Tok Pisin, a creole language, is widely used and understood; English is spoken by 1%-2%; Hiri Motu is spoken by less than 2%
","6,909,701 (July 2017)"
China,China,Asia,14/100 (2018),communist party-led state,Beijing,"coal, iron ore, petroleum, natural gas, mercury, tin, tungsten, antimony, manganese, molybdenum, vanadium, magnetite, aluminum, lead, zinc, rare earth elements, uranium, hydropower potential (world's largest), arable land","mostly mountains, high plateaus, deserts in west; plains, deltas, and hills in east",extremely diverse; tropical in south to subarctic in north,75.7 years(2017),"12 deaths/1,000 live births(2017)","1- Stroke, 2- Coronary Heart Disease, 3- Lung Disease, 4- Lung Cancers, 5- Liver Cancer (2017)","$16,600 2017 EST.",6.32 Yuan to 1 U.S. Dollar (March 2018),$3.17 vs $5.28 US,6.5% (2017),42.2% (2012),40 and 79th/176 (2016),57.8 overall (2018),96.4% (2015),"Buddhist 18.2%, Christian 5.1%, Muslim 1.8%, folk religion 21.9%, Hindu < 0.1%, Jewish < 0.1%, other 0.7% (includes Daoist (Taoist)), unaffiliated 52.2%. note: officially atheist (2010 est.)","Standard Chinese or Mandarin (official; Putonghua, based on the Beijing dialect), Yue (Cantonese), Wu (Shanghainese), Minbei (Fuzhou), Minnan (Hokkien-Taiwanese), Xiang, Gan, Hakka dialects, minority languages (see Ethnic groups entry). note: Zhuang is official in Guangxi Zhuang, Yue is official in Guangdong, Mongolian is official in Nei Mongol, Uighur is official in Xinjiang Uygur, Kyrgyz is official in Xinjiang Uygur, and Tibetan is official in Xizang (Tibet)","1,379,302,771 (July 2017)"
Indonesia,Indonesia,Asia,61/100 (2018),presidential republic,Jakarta,"petroleum, tin, natural gas, nickel, timber, bauxite, copper, fertile soils, coal, gold, silver",mostly coastal lowlands; larger islands have interior mountains,"tropical; hot, humid; more moderate in highlands",73 years(2017),"22.7 deaths/1,000 live births(2017)","1- Stroke, 2- Coronary Heart Disease, 3- Diabetes Mellitus, 4- Influenza and Pnemonia, 5-Tuberculosis (2017)","$12,400 2017 EST.","13,753.00 Indonesian Rupiah to 1 U.S. Dollar (March 2018)",$2.68 vs $5.28 US,5.3% (2017),39.5% (2013),37 and 90th/176 (2016),64.2 overall (2018),95.4%  (2016),"Muslim 87.2%, Protestant 7%, Roman Catholic 2.9%, Hindu 1.7%, other 0.9% (includes Buddhist and Confucian), unspecified 0.4% (2010 est.)","Bahasa Indonesia (official, modified form of Malay), English, Dutch, local dialects (of which the most widely spoken is Javanese). note: more than 700 languages are used in Indonesia
","260,580,739 (July 2017)"
Malaysia,Malaysia,Asia,45/100 (2018),federal parliamentary constitutional monarchy,,"tin, petroleum, timber, copper, iron ore, natural gas, bauxite",coastal plains rising to hills and mountains,tropical; annual southwest (April to October) and northeast (October to February) monsoons,75.2 years(2017),"12.5 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Influenza and Pneumonia, 4- Lung Disease, 5- Road Traffic Accidents (2017)","$28,900 2017 EST.",3.91 Ringgits to 1 U.S. Dollar (March 2018),$2.28 vs $5.28 US,4.5% (2017),46.3% (2009),49 and 55th/176 (2016),74.5 overall (2018),94.6% (2015),"Muslim (official) 61.3%, Buddhist 19.8%, Christian 9.2%, Hindu 6.3%, Confucianism, Taoism, other traditional Chinese religions 1.3%, other 0.4%, none 0.8%, unspecified 1% (2010 est.)","Bahasa Malaysia (official), English, Chinese (Cantonese, Mandarin, Hokkien, Hakka, Hainan, Foochow), Tamil, Telugu, Malayalam, Panjabi, Thai. note: Malaysia has 134 living languages - 112 indigenous languages and 22 non-indigenous languages; in East Malaysia there are several indigenous languages; most widely spoken are Iban and Kadazan.","31,381,992 (July 2017)"
India,India,Asia,77/100 (2018),federal parliamentary republic,New Delhi,"coal (fourth-largest reserves in the world), iron ore, manganese, mica, bauxite, rare earth elements, titanium ore, chromite, natural gas, diamonds, petroleum, limestone, arable land","upland plain (Deccan Plateau) in south, flat to rolling plain along the Ganges, deserts in west, Himalayas in north",varies from tropical monsoon in south to temperate in north,68.8 years(2017),"39.1 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Lung Disease, 3- Stroke, 4- Diarrhoeal diseases, 5- Influenza and Pneumonia (2017)","$7,200 2017 EST.",64.98 Indian Rupees to 1 U.S. Dollar (March 2018),$2.82 vs $5.28 US,7.4% (2017),35.1% (2011),40 and 79th/176 (2016),54.5 overall (2018),71.2% (2015),"Hindu 79.8%, Muslim 14.2%, Christian 2.3%, Sikh 1.7%, other and unspecified 2% (2011 est.)","Hindi 41%, Bengali 8.1%, Telugu 7.2%, Marathi 7%, Tamil 5.9%, Urdu 5%, Gujarati 4.5%, Kannada 3.7%, Malayalam 3.2%, Oriya 3.2%, Punjabi 2.8%, Assamese 1.3%, Maithili 1.2%, other 5.9%. (2001). note: English enjoys the status of subsidiary official language but is the most important language for national, political, and commercial communication; Hindi is the most widely spoken language and primary tongue of 41% of the people; there are 14 other official languages: Bengali, Telugu, Marathi, Tamil, Urdu, Gujarati, Malayalam, Kannada, Oriya, Punjabi, Assamese, Kashmiri, Sindhi, and Sanskrit; Hindustani is a popular variant of Hindi/Urdu spoken widely throughout northern India but is not an official language.","1,281,935,911 (July 2017)"
